osm_id,name,amenity,cuisine,price_per_person,rating,lat,lon,address,kb_text
node/592662289,Walker's Doughnuts,fast_food,donut,$1-20,4,-37.8179609,144.9651319,"(-37.81796, 144.96513)","Walker's Doughnuts is a fast_food in Melbourne (CBD) offering Donut. Average spend is about $10 per person (range $1-20). Rated 4.0/5. Address: (-37.81796, 144.96513)."
node/592841898,Whiskey Den,bar,bar,$20-40,4.8,-37.816038,144.96938,"(-37.81604, 144.96938)","Whiskey Den is a bar in Melbourne (CBD) offering Bar. Average spend is about $30 per person (range $20-40). Rated 4.8/5. Address: (-37.81604, 144.96938)."
node/593990782,Lune Croissanterie Melbourne CBD,cafe,bakery,$1-20,4.3,-37.8156596,144.9692274,"(-37.81566, 144.96923)","Lune Croissanterie Melbourne CBD is a cafe in Melbourne (CBD) offering Bakery. Average spend is about $10 per person (range $1-20). Rated 4.3/5. Address: (-37.81566, 144.96923)."
node/594192888,McDonald's,fast_food,burger,$1-20,2.5,-37.816049,144.96658,"(-37.81605, 144.96658)","McDonald's is a fast_food in Melbourne (CBD) offering Burger. Average spend is about $10 per person (range $1-20). Rated 2.5/5. Address: (-37.81605, 144.96658)."
node/594773184,Dae Jang Geum,restaurant,korean,$20-40,4.6,-37.8124553,144.9657759,"(-37.81246, 144.96578)","Dae Jang Geum is a restaurant in Melbourne (CBD) offering Korean. Average spend is about $30 per person (range $20-40). Rated 4.6/5. Address: (-37.81246, 144.96578)."
node/595482856,Brunetti Oro,cafe,italian,$1-20,4.3,-37.8142862,144.9663757,"(-37.81429, 144.96638)","Brunetti Oro is a cafe in Melbourne (CBD) offering Italian. Average spend is about $10 per person (range $1-20). Rated 4.3/5. Address: (-37.81429, 144.96638)."
node/595502061,McDonald's,fast_food,burger,$1-20,2.6,-37.8187121,144.9542231,"(-37.81871, 144.95422)","McDonald's is a fast_food in Melbourne (CBD) offering Burger. Average spend is about $10 per person (range $1-20). Rated 2.6/5. Address: (-37.81871, 144.95422)."
node/595789347,Curry Bowl,restaurant,sri_lankan,$1-20,4.3,-37.810374,144.9693613,"(-37.81037, 144.96936)","Curry Bowl is a restaurant in Melbourne (CBD) offering Sri_Lankan. Average spend is about $10 per person (range $1-20). Rated 4.3/5. Address: (-37.81037, 144.96936)."
node/597923767,Flower Drum,restaurant,chinese,$80-100,4.4,-37.811867,144.969217,"(-37.81187, 144.96922)","Flower Drum is a restaurant in Melbourne (CBD) offering Chinese. Average spend is about $90 per person (range $80-100). Rated 4.4/5. Address: (-37.81187, 144.96922)."
node/598035322,Mister Munro,restaurant,italian,$20-40,4,-37.8144174,144.9668304,"(-37.81442, 144.96683)","Mister Munro is a restaurant in Melbourne (CBD) offering Italian. Average spend is about $30 per person (range $20-40). Rated 4.0/5. Address: (-37.81442, 144.96683)."
node/598056315,McDonald's,fast_food,burger,$1-20,3.2,-37.8144293,144.9617749,"(-37.81443, 144.96177)","McDonald's is a fast_food in Melbourne (CBD) offering Burger. Average spend is about $10 per person (range $1-20). Rated 3.2/5. Address: (-37.81443, 144.96177)."
node/598377897,Taco Bill,restaurant,mexican,$20-40,4.5,-37.813,144.968423,"(-37.81300, 144.96842)","Taco Bill is a restaurant in Melbourne (CBD) offering Mexican. Average spend is about $30 per person (range $20-40). Rated 4.5/5. Address: (-37.81300, 144.96842)."
node/598377898,Straight Outta Saigon,restaurant,vietnamese,$40-60,4.4,-37.813054,144.968449,"(-37.81305, 144.96845)","Straight Outta Saigon is a restaurant in Melbourne (CBD) offering Vietnamese. Average spend is about $50 per person (range $40-60). Rated 4.4/5. Address: (-37.81305, 144.96845)."
node/598405141,MilkSha,cafe,bubble_tea,$1-20,4,-37.8149917,144.9637058,"(-37.81499, 144.96371)","MilkSha is a cafe in Melbourne (CBD) offering Bubble_Tea. Average spend is about $10 per person (range $1-20). Rated 4.0/5. Address: (-37.81499, 144.96371)."
node/598405142,Street Taste,restaurant,mexican,$20-40,4.4,-37.8148474,144.9636552,"(-37.81485, 144.96366)","Street Taste is a restaurant in Melbourne (CBD) offering Mexican. Average spend is about $30 per person (range $20-40). Rated 4.4/5. Address: (-37.81485, 144.96366)."
node/600643786,Cafe Ecco,cafe,japanese,$1-20,4.3,-37.808354,144.973813,"(-37.80835, 144.97381)","Cafe Ecco is a cafe in Melbourne (CBD) offering Japanese. Average spend is about $10 per person (range $1-20). Rated 4.3/5. Address: (-37.80835, 144.97381)."
node/600744880,Stalactites,restaurant,greek,$20-40,4.3,-37.8110551,144.9670923,"(-37.81106, 144.96709)","Stalactites is a restaurant in Melbourne (CBD) offering Greek. Average spend is about $30 per person (range $20-40). Rated 4.3/5. Address: (-37.81106, 144.96709)."
node/600744881,Section 8 Container Bar,bar,bar ,$20-40,4.4,-37.8117457,144.965405,"(-37.81175, 144.96541)","Section 8 Container Bar is a bar in Melbourne (CBD) offering Bar. Average spend is about $30 per person (range $20-40). Rated 4.4/5. Address: (-37.81175, 144.96541)."
node/600746441,Supper Inn,restaurant,chinese;cantonese,$20-40,3.9,-37.8118709,144.9661938,"(-37.81187, 144.96619)","Supper Inn is a restaurant in Melbourne (CBD) offering Chinese, Cantonese. Average spend is about $30 per person (range $20-40). Rated 3.9/5. Address: (-37.81187, 144.96619)."
node/600747425,ENAK by Nelayan,restaurant,indonesian,$20-40,4.8,-37.8112024,144.9666038,"(-37.81120, 144.96660)","ENAK by Nelayan is a restaurant in Melbourne (CBD) offering Indonesian. Average spend is about $30 per person (range $20-40). Rated 4.8/5. Address: (-37.81120, 144.96660)."
node/600759717,China Bar,restaurant,chinese,$20-40,3.4,-37.81114,144.9671016,"(-37.81114, 144.96710)","China Bar is a restaurant in Melbourne (CBD) offering Chinese. Average spend is about $30 per person (range $20-40). Rated 3.4/5. Address: (-37.81114, 144.96710)."
node/600777872,Shanghai Club,bar,chinese,$20-40,3.6,-37.8122542,144.9656641,"(-37.81225, 144.96566)","Shanghai Club is a bar in Melbourne (CBD) offering Chinese. Average spend is about $30 per person (range $20-40). Rated 3.6/5. Address: (-37.81225, 144.96566)."
node/600781691,Rice Workshop,restaurant,japanese,$1-20,4.5,-37.8122969,144.9658016,"(-37.81230, 144.96580)","Rice Workshop is a restaurant in Melbourne (CBD) offering Japanese. Average spend is about $10 per person (range $1-20). Rated 4.5/5. Address: (-37.81230, 144.96580)."
node/600781697,Crazy Wing,restaurant,chinese ,$20-40,3.6,-37.8122261,144.9659098,"(-37.81223, 144.96591)","Crazy Wing is a restaurant in Melbourne (CBD) offering Chinese. Average spend is about $30 per person (range $20-40). Rated 3.6/5. Address: (-37.81223, 144.96591)."
node/601754644,Ling Nan Chinese Restaurant,restaurant,chinese ,$20-40,3.8,-37.8112805,144.9663097,"(-37.81128, 144.96631)","Ling Nan Chinese Restaurant is a restaurant in Melbourne (CBD) offering Chinese. Average spend is about $30 per person (range $20-40). Rated 3.8/5. Address: (-37.81128, 144.96631)."
node/605201955,McDonald's,fast_food,burger,$1-20,3.2,-37.811771,144.9646025,"(-37.81177, 144.96460)","McDonald's is a fast_food in Melbourne (CBD) offering Burger. Average spend is about $10 per person (range $1-20). Rated 3.2/5. Address: (-37.81177, 144.96460)."
node/605201956,Tamjai Mixian,restaurant,asian,$20-40,3.4,-37.812536,144.964978,"(-37.81254, 144.96498)","Tamjai Mixian is a restaurant in Melbourne (CBD) offering Asian. Average spend is about $30 per person (range $20-40). Rated 3.4/5. Address: (-37.81254, 144.96498)."
node/607612350,Soul Cafe,cafe,american ,$20-40,4,-37.813182,144.965246,"(-37.81318, 144.96525)","Soul Cafe is a cafe in Melbourne (CBD) offering American. Average spend is about $30 per person (range $20-40). Rated 4.0/5. Address: (-37.81318, 144.96525)."
node/607756379,McDonald's,fast_food,burger,$1-20,2.4,-37.8178091,144.9645776,"(-37.81781, 144.96458)","McDonald's is a fast_food in Melbourne (CBD) offering Burger. Average spend is about $10 per person (range $1-20). Rated 2.4/5. Address: (-37.81781, 144.96458)."
node/608707449,Grill'd,fast_food,burger,$20-40,4.3,-37.817421,144.9657253,"(-37.81742, 144.96573)","Grill'd is a fast_food in Melbourne (CBD) offering Burger. Average spend is about $30 per person (range $20-40). Rated 4.3/5. Address: (-37.81742, 144.96573)."
node/608822043,It’s Bagel,restaurant,bakery,$1-20,4.7,-37.8176797,144.962265,"(-37.81768, 144.96227)","It’s Bagel is a restaurant in Melbourne (CBD) offering Bakery. Average spend is about $10 per person (range $1-20). Rated 4.7/5. Address: (-37.81768, 144.96227)."
node/611566484,Springrock Public Bar,bar,bar ,$20-40,4.6,-37.812124,144.970916,"(-37.81212, 144.97092)","Springrock Public Bar is a bar in Melbourne (CBD) offering Bar. Average spend is about $30 per person (range $20-40). Rated 4.6/5. Address: (-37.81212, 144.97092)."
node/612015885,Zambrero,fast_food,mexican,$1-20,4,-37.8158874,144.9636832,"(-37.81589, 144.96368)","Zambrero is a fast_food in Melbourne (CBD) offering Mexican. Average spend is about $10 per person (range $1-20). Rated 4.0/5. Address: (-37.81589, 144.96368)."
node/612726562,Red Spice Road,restaurant,asian,$20-40,4.4,-37.8153,144.96066,"(-37.81530, 144.96066)","Red Spice Road is a restaurant in Melbourne (CBD) offering Asian. Average spend is about $30 per person (range $20-40). Rated 4.4/5. Address: (-37.81530, 144.96066)."
node/612743648,Hopetoun Bake Shop,restaurant,bakery,$20-40,4.5,-37.8151769,144.9618234,"(-37.81518, 144.96182)","Hopetoun Bake Shop is a restaurant in Melbourne (CBD) offering Bakery. Average spend is about $30 per person (range $20-40). Rated 4.5/5. Address: (-37.81518, 144.96182)."
node/613315857,YX Hot Pot Bourke Street ,restaurant,hotpot,$60-80,5,-37.814275,144.962343,"(-37.81428, 144.96234)","YX Hot Pot Bourke Street  is a restaurant in Melbourne (CBD) offering Hotpot. Average spend is about $70 per person (range $60-80). Rated 5.0/5. Address: (-37.81428, 144.96234)."
node/613316144,The Stolen Gem Rooftop Bar,bar,bar ,$20-40,4.2,-37.814375,144.961984,"(-37.81437, 144.96198)","The Stolen Gem Rooftop Bar is a bar in Melbourne (CBD) offering Bar. Average spend is about $30 per person (range $20-40). Rated 4.2/5. Address: (-37.81437, 144.96198)."
node/613988981,Pho Ganh,restaurant,vietnamese,$20-40,4.1,-37.8118287,144.9646288,"(-37.81183, 144.96463)","Pho Ganh is a restaurant in Melbourne (CBD) offering Vietnamese. Average spend is about $30 per person (range $20-40). Rated 4.1/5. Address: (-37.81183, 144.96463)."
node/613991823,Nelayan,restaurant,indonesian,$20-40,4.5,-37.8120238,144.9647177,"(-37.81202, 144.96472)","Nelayan is a restaurant in Melbourne (CBD) offering Indonesian. Average spend is about $30 per person (range $20-40). Rated 4.5/5. Address: (-37.81202, 144.96472)."
node/614041180,Grossi Florentino,restaurant,italian,$80-100,4.3,-37.8117868,144.9708939,"(-37.81179, 144.97089)","Grossi Florentino is a restaurant in Melbourne (CBD) offering Italian. Average spend is about $90 per person (range $80-100). Rated 4.3/5. Address: (-37.81179, 144.97089)."
node/614492382,Corner & Bench,cafe,sandwiches,$1-20,4.5,-37.814528,144.961567,"(-37.81453, 144.96157)","Corner & Bench is a cafe in Melbourne (CBD) offering Sandwiches. Average spend is about $10 per person (range $1-20). Rated 4.5/5. Address: (-37.81453, 144.96157)."
node/614502268,MAKER Lt Bourke,cafe,coffee_shop,$1-20,4.6,-37.8137805,144.9613979,"(-37.81378, 144.96140)","MAKER Lt Bourke is a cafe in Melbourne (CBD) offering Coffee_Shop. Average spend is about $10 per person (range $1-20). Rated 4.6/5. Address: (-37.81378, 144.96140)."
node/614502269,Mumchan (City),restaurant,korean,$1-20,4.8,-37.8137805,144.9611781,"(-37.81378, 144.96118)","Mumchan (City) is a restaurant in Melbourne (CBD) offering Korean. Average spend is about $10 per person (range $1-20). Rated 4.8/5. Address: (-37.81378, 144.96118)."
node/616545130,Stubborn Pig,restaurant,korean,$40-60,4.4,-37.8123192,144.9613892,"(-37.81232, 144.96139)","Stubborn Pig is a restaurant in Melbourne (CBD) offering Korean. Average spend is about $50 per person (range $40-60). Rated 4.4/5. Address: (-37.81232, 144.96139)."
node/616546821,Sara Craft Ramen & Bar,restaurant,japanese,$20-40,4.5,-37.811806,144.9603455,"(-37.81181, 144.96035)","Sara Craft Ramen & Bar is a restaurant in Melbourne (CBD) offering Japanese. Average spend is about $30 per person (range $20-40). Rated 4.5/5. Address: (-37.81181, 144.96035)."
node/616546908,CJ Lunchbar,restaurant,korean,$20-40,4.4,-37.8118521,144.9603669,"(-37.81185, 144.96037)","CJ Lunchbar is a restaurant in Melbourne (CBD) offering Korean. Average spend is about $30 per person (range $20-40). Rated 4.4/5. Address: (-37.81185, 144.96037)."
node/616546986,La La Land,bar,bar ,$20-40,4.4,-37.811896,144.9603841,"(-37.81190, 144.96038)","La La Land is a bar in Melbourne (CBD) offering Bar. Average spend is about $30 per person (range $20-40). Rated 4.4/5. Address: (-37.81190, 144.96038)."
node/616964019,Spaghetti Tree,restaurant,italian,$20-40,4.2,-37.81184,144.971491,"(-37.81184, 144.97149)","Spaghetti Tree is a restaurant in Melbourne (CBD) offering Italian. Average spend is about $30 per person (range $20-40). Rated 4.2/5. Address: (-37.81184, 144.97149)."
node/617510806,Izakaya Hachibeh,restaurant,japanese,$100-120,4.7,-37.812711,144.969082,"(-37.81271, 144.96908)","Izakaya Hachibeh is a restaurant in Melbourne (CBD) offering Japanese. Average spend is about $110 per person (range $100-120). Rated 4.7/5. Address: (-37.81271, 144.96908)."
node/619598442,Mitre Tavern ,bar,bar ,$20-40,4.4,-37.8167679,144.9604014,"(-37.81677, 144.96040)","Mitre Tavern  is a bar in Melbourne (CBD) offering Bar. Average spend is about $30 per person (range $20-40). Rated 4.4/5. Address: (-37.81677, 144.96040)."
node/621531633,Tomm.,cafe,sea_food,$20-40,5,-37.8147196,144.9580058,"(-37.81472, 144.95801)","Tomm. is a cafe in Melbourne (CBD) offering Sea_Food. Average spend is about $30 per person (range $20-40). Rated 5.0/5. Address: (-37.81472, 144.95801)."
node/621540204,MoVida,restaurant,spanish,$20-40,4.5,-37.8148997,144.9587461,"(-37.81490, 144.95875)","MoVida is a restaurant in Melbourne (CBD) offering Spanish. Average spend is about $30 per person (range $20-40). Rated 4.5/5. Address: (-37.81490, 144.95875)."
node/621541320,O-Bento,restaurant,japanese,$1-20,4,-37.81681,144.962753,"(-37.81681, 144.96275)","O-Bento is a restaurant in Melbourne (CBD) offering Japanese. Average spend is about $10 per person (range $1-20). Rated 4.0/5. Address: (-37.81681, 144.96275)."
node/624924247,Williams Bar & Cafe,restaurant,bar ,$20-40,4.5,-37.81943,144.959627,"(-37.81943, 144.95962)","Williams Bar & Cafe is a restaurant in Melbourne (CBD) offering Bar. Average spend is about $30 per person (range $20-40). Rated 4.5/5. Address: (-37.81943, 144.95962)."
node/626250404,Rare Steakhouse,restaurant,steak_house,$40-60,4.5,-37.819162,144.95733,"(-37.81916, 144.95733)","Rare Steakhouse is a restaurant in Melbourne (CBD) offering Steak_House. Average spend is about $50 per person (range $40-60). Rated 4.5/5. Address: (-37.81916, 144.95733)."
node/626259680,Nosh Rialto,restaurant,japanese,$1-20,3.8,-37.8186381,144.9570064,"(-37.81864, 144.95701)","Nosh Rialto is a restaurant in Melbourne (CBD) offering Japanese. Average spend is about $10 per person (range $1-20). Rated 3.8/5. Address: (-37.81864, 144.95701)."
node/627280015,Tan Hotpot,restaurant,hotpot,$40-60,4.8,-37.812287,144.96922,"(-37.81229, 144.96922)","Tan Hotpot is a restaurant in Melbourne (CBD) offering Hotpot. Average spend is about $50 per person (range $40-60). Rated 4.8/5. Address: (-37.81229, 144.96922)."
node/627280068,European,restaurant,european,$40-60,4.4,-37.810937,144.972543,"(-37.81094, 144.97254)","European is a restaurant in Melbourne (CBD) offering European. Average spend is about $50 per person (range $40-60). Rated 4.4/5. Address: (-37.81094, 144.97254)."
node/633912829,Nando's,restaurant,chicken;portuguese,$20-40,4.2,-37.8158129,144.955797,"(-37.81581, 144.95580)","Nando's is a restaurant in Melbourne (CBD) offering Chicken, Portuguese. Average spend is about $30 per person (range $20-40). Rated 4.2/5. Address: (-37.81581, 144.95580)."
node/633912832,La Di Da,bar,bar,$20-40,4.1,-37.8155125,144.9556539,"(-37.81551, 144.95565)","La Di Da is a bar in Melbourne (CBD) offering Bar. Average spend is about $30 per person (range $20-40). Rated 4.1/5. Address: (-37.81551, 144.95565)."
node/633912856,Slate,restaurant,bar,$20-40,4.2,-37.8150581,144.9575878,"(-37.81505, 144.95758)","Slate is a restaurant in Melbourne (CBD) offering Bar. Average spend is about $30 per person (range $20-40). Rated 4.2/5. Address: (-37.81505, 144.95758)."
node/635544144,The Mint,restaurant,grill;pub,$20-40,4.5,-37.81186,144.956743,"(-37.81186, 144.95674)","The Mint is a restaurant in Melbourne (CBD) offering Grill, Pub. Average spend is about $30 per person (range $20-40). Rated 4.5/5. Address: (-37.81186, 144.95674)."
node/639371091,The Deck ,restaurant,european,$40-60,4.3,-37.8131217,144.9663815,"(-37.81312, 144.96638)","The Deck  is a restaurant in Melbourne (CBD) offering European. Average spend is about $50 per person (range $40-60). Rated 4.3/5. Address: (-37.81312, 144.96638)."
node/640842307,McDonald's,fast_food,burger,$1-20,3.4,-37.821335,144.962225,"(-37.82133, 144.96222)","McDonald's is a fast_food in Melbourne (CBD) offering Burger. Average spend is about $10 per person (range $1-20). Rated 3.4/5. Address: (-37.82133, 144.96222)."
node/642333245,Pellegrini's,cafe,coffee_shop,$20-40,4.4,-37.811722,144.971173,"(-37.81172, 144.97117)","Pellegrini's is a cafe in Melbourne (CBD) offering Coffee_Shop. Average spend is about $30 per person (range $20-40). Rated 4.4/5. Address: (-37.81172, 144.97117)."
node/642420346,Restaurant 1903,restaurant,steak_house,$20-40,4.3,-37.8196288,144.9546916,"(-37.81963, 144.95469)","Restaurant 1903 is a restaurant in Melbourne (CBD) offering Steak_House. Average spend is about $30 per person (range $20-40). Rated 4.3/5. Address: (-37.81963, 144.95469)."
node/645573442,Samsam,restaurant,korean,$20-40,4.2,-37.812884,144.9651115,"(-37.81288, 144.96511)","Samsam is a restaurant in Melbourne (CBD) offering Korean. Average spend is about $30 per person (range $20-40). Rated 4.2/5. Address: (-37.81288, 144.96511)."
node/659635764,Saravana Bhavan,fast_food,indian;south_indian,$20-40,4,-37.8170641,144.9557853,"(-37.81706, 144.95579)","Saravana Bhavan is a fast_food in Melbourne (CBD) offering Indian, South_Indian. Average spend is about $30 per person (range $20-40). Rated 4.0/5. Address: (-37.81706, 144.95579)."
node/660023614,Hungry Jack's,fast_food,burger,$1-20,3.5,-37.8167834,144.9528048,"(-37.81678, 144.95280)","Hungry Jack's is a fast_food in Melbourne (CBD) offering Burger. Average spend is about $10 per person (range $1-20). Rated 3.5/5. Address: (-37.81678, 144.95280)."
node/660024090,Brightside,cafe,coffee_shop,$1-20,4.1,-37.8162882,144.9554509,"(-37.81629, 144.95545)","Brightside is a cafe in Melbourne (CBD) offering Coffee_Shop. Average spend is about $10 per person (range $1-20). Rated 4.1/5. Address: (-37.81629, 144.95545)."
node/660024093,Subway,fast_food,sandwich,$1-20,3.3,-37.8160127,144.9553396,"(-37.81601, 144.95534)","Subway is a fast_food in Melbourne (CBD) offering Sandwich. Average spend is about $10 per person (range $1-20). Rated 3.3/5. Address: (-37.81601, 144.95534)."
node/660027389,Ssam Korean BBQ,restaurant,barbecue;korean,$40-60,4.7,-37.8157535,144.9552079,"(-37.81575, 144.95521)","Ssam Korean BBQ is a restaurant in Melbourne (CBD) offering Barbecue, Korean. Average spend is about $50 per person (range $40-60). Rated 4.7/5. Address: (-37.81575, 144.95521)."
node/660027390,King Jons Souvlaki Bar,fast_food,greek,$1-20,4.3,-37.8158199,144.955239,"(-37.81582, 144.95524)","King Jons Souvlaki Bar is a fast_food in Melbourne (CBD) offering Greek. Average spend is about $10 per person (range $1-20). Rated 4.3/5. Address: (-37.81582, 144.95524)."
node/660027391,Chai N'Chilli,fast_food,indian,$20-40,4.6,-37.815849,144.9552513,"(-37.81585, 144.95525)","Chai N'Chilli is a fast_food in Melbourne (CBD) offering Indian. Average spend is about $30 per person (range $20-40). Rated 4.6/5. Address: (-37.81585, 144.95525)."
node/660116316,Bharawan da Dhaba,restaurant,indian,$20-40,4.3,-37.811355,144.972399,"(-37.81135, 144.97240)","Bharawan da Dhaba is a restaurant in Melbourne (CBD) offering Indian. Average spend is about $30 per person (range $20-40). Rated 4.3/5. Address: (-37.81135, 144.97240)."
node/660117383,Morris House,bar,bar,$40-60,4.1,-37.811331,144.972501,"(-37.81286, 144.97134)","Morris House is a bar in Melbourne (CBD) offering Bar. Average spend is about $50 per person (range $40-60). Rated 4.1/5. Address: (-37.81286, 144.97134)."
node/660120300,Cherry Bar,bar,bar,$20-40,4.3,-37.8128595,144.9713425,"(-37.81634, 144.95310)","Cherry Bar is a bar in Melbourne (CBD) offering Bar. Average spend is about $30 per person (range $20-40). Rated 4.3/5. Address: (-37.81634, 144.95310)."
node/663117963,Nando's,restaurant,chicken;portuguese,$20-40,4.2,-37.812081,144.971102,"(-37.81215, 144.97114)","Nando's is a restaurant in Melbourne (CBD) offering Chicken, Portuguese. Average spend is about $30 per person (range $20-40). Rated 4.2/5. Address: (-37.81215, 144.97114)."
node/663539644,Lane's Edge Wine Bar,bar,bar,$40-60,4.4,-37.8144408,144.9742688,"(-37.81184, 144.97206)","Lane's Edge Wine Bar is a bar in Melbourne (CBD) offering Bar. Average spend is about $50 per person (range $40-60). Rated 4.4/5. Address: (-37.81184, 144.97206)."
node/663542562,Spleen Central,bar,bar,$20-40,4.3,-37.8118527,144.9720038,"(-37.81520, 144.97163)","Spleen Central is a bar in Melbourne (CBD) offering Bar. Average spend is about $30 per person (range $20-40). Rated 4.3/5. Address: (-37.81520, 144.97163)."
node/663914526,Grill'd,fast_food,burger,$20-40,4.2,-37.8151993,144.9716261,"(-37.81544, 144.97158)","Grill'd is a fast_food in Melbourne (CBD) offering Burger. Average spend is about $30 per person (range $20-40). Rated 4.2/5. Address: (-37.81544, 144.97158)."
node/664326819,Bar Hum Bug,bar,bar,$20-40,4.3,-37.815434,144.9549557,"(-37.81543, 144.95495)","Bar Hum Bug is a bar in Melbourne (CBD) offering Bar. Average spend is about $30 per person (range $20-40). Rated 4.3/5. Address: (-37.81543, 144.95495)."
node/669129409,Sir Osborn,cafe,coffee_shop,$1-20,4.8,-37.8103719,144.9702093,"(-37.81037, 144.97020)","Sir Osborn is a cafe in Melbourne (CBD) offering Coffee_Shop. Average spend is about $10 per person (range $1-20). Rated 4.8/5. Address: (-37.81037, 144.97020)."
node/670133505,Bottega Restaurant,restaurant,italian,$40-60,4.4,-37.813487,144.966896,"(-37.81175, 144.97101)","Bottega Restaurant is a restaurant in Melbourne (CBD) offering Italian. Average spend is about $50 per person (range $40-60). Rated 4.4/5. Address: (-37.81175, 144.97101)."
node/673062586,Ombra Salumi Bar,restaurant,italian,$20-40,4.5,-37.811754,144.971007,"(-37.81843, 144.96839)","Ombra Salumi Bar is a restaurant in Melbourne (CBD) offering Italian. Average spend is about $30 per person (range $20-40). Rated 4.5/5. Address: (-37.81843, 144.96839)."
node/704113776,Nana Thai,restaurant,thai,$20-40,4.2,-37.81292192,144.9685561,"(-37.81292, 144.96855)","Nana Thai is a restaurant in Melbourne (CBD) offering Thai. Average spend is about $30 per person (range $20-40). Rated 4.2/5. Address: (-37.81292, 144.96855)."
node/706906468,CafÃ© Excello,cafe,coffee_shop,$1-20,4.2,-37.8123163,144.9732226,"(-37.81231, 144.97322)","CafÃ© Excello is a cafe in Melbourne (CBD) offering Coffee_Shop. Average spend is about $10 per person (range $1-20). Rated 4.2/5. Address: (-37.81231, 144.97322)."
node/706916611,Baguette,cafe,coffee_shop,$1-20,3.1,-37.818122,144.967206,"(-37.81833, 144.96729)","Baguette is a cafe in Melbourne (CBD) offering Coffee_Shop. Average spend is about $10 per person (range $1-20). Rated 3.1/5. Address: (-37.81833, 144.96729)."
node/706916689,Coffee HQ,cafe,coffee_shop,$1-20,2.9,-37.8181001,144.9672656,"(-37.81810, 144.96726)","Coffee HQ is a cafe in Melbourne (CBD) offering Coffee_Shop. Average spend is about $10 per person (range $1-20). Rated 2.9/5. Address: (-37.81810, 144.96726)."
node/726966568,Kenny's Bakery Cafe,cafe,bakery,$1-20,4.3,-37.8099973,144.9708523,"(-37.81003, 144.97071)","Kenny's Bakery Cafe is a cafe in Melbourne (CBD) offering Bakery. Average spend is about $10 per person (range $1-20). Rated 4.3/5. Address: (-37.81003, 144.97071)."
